strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,ESLT,2025-04-23,374.727352,369.385443,5.34191,2025-04-24,368.748814,stop_loss,26,9742.91,-155.44,-0.015954,-1.119176,-1.433886,0.52141,1,96.0,setup_rsi2=3.73; next_open_entry; avg_value_10=31.7298M; adr20=2.6974; close=374.0310; ma50=358.0083
rsi2,SSRM,2025-04-24,10.36,9.98,0.38,2025-04-25,9.98,stop_loss,971,10059.56,-368.98,-0.03668,-1.0,-1.078947,0.078949,1,94.0,setup_rsi2=4.21; next_open_entry; avg_value_10=25.4803M; adr20=6.0824; close=10.3000; ma50=10.2742
rsi2,FSM,2025-04-24,6.19,5.81,0.38,2025-04-25,5.95,atr_trail_stop,1626,10064.94,-390.24,-0.038772,-0.631579,-0.789474,0.105263,1,92.0,setup_rsi2=4.47; next_open_entry; avg_value_10=98.0791M; adr20=7.3429; close=6.1300; ma50=5.5010
rsi2,IAG,2025-04-28,7.0,6.9,0.1,2025-04-29,6.996018,atr_trail_stop,1437,10059.0,-5.72,-0.000569,-0.039817,-0.300002,2.2,1,94.0,setup_rsi2=4.04; next_open_entry; avg_value_10=117.5619M; adr20=6.4858; close=7.1900; ma50=6.2816
rsi2,PLRZ,2025-05-02,784.5,370.5,414.0,2025-05-05,1691.743353,atr_trail_stop,12,9414.0,10886.92,1.156461,2.191409,-0.043478,3.503623,3,99.0,setup_rsi2=3.47; next_open_entry; avg_value_10=36.6960M; adr20=19.3922; close=1515.0000; ma50=824.6700
rsi2,HTZ,2025-05-06,6.16,6.14,0.02,2025-05-06,6.14,same_day_stop_loss,1651,10170.16,-33.02,-0.003247,-1.0,-10.500012,3.250006,0,97.0,setup_rsi2=2.54; next_open_entry; avg_value_10=123.8554M; adr20=13.7007; close=6.1400; ma50=4.8749
rsi2,STNE,2025-05-06,10.95431,10.822131,0.132178,2025-05-07,10.822131,stop_loss,928,10165.6,-122.66,-0.012066,-1.0,-1.062504,1.500002,1,92.0,setup_rsi2=4.46; next_open_entry; avg_value_10=55.1189M; adr20=4.4673; close=10.9874; ma50=9.2464
rsi2,STNE,2025-05-07,10.954309,10.913004,0.041306,2025-05-07,10.913004,same_day_stop_loss,928,10165.6,-38.33,-0.003771,-1.0,-3.400004,1.800004,0,92.0,setup_rsi2=3.92; next_open_entry; avg_value_10=51.9061M; adr20=4.0867; close=10.9295; ma50=9.3054
rsi2,HTZ,2025-05-07,6.32,5.95,0.37,2025-05-08,5.95,stop_loss,1609,10168.88,-595.33,-0.058544,-1.0,-1.35135,0.702701,1,97.0,setup_rsi2=2.18; next_open_entry; avg_value_10=109.9234M; adr20=13.4661; close=6.2100; ma50=4.9143
rsi2,STNE,2025-05-08,11.069966,10.81387,0.256096,2025-05-09,10.81387,stop_loss,918,10162.23,-235.1,-0.023134,-1.0,-1.935482,1.419357,1,93.0,setup_rsi2=2.74; next_open_entry; avg_value_10=51.8531M; adr20=3.7037; close=11.4087; ma50=9.3769
rsi2,BBD,2025-05-08,2.506813,2.170651,0.336162,2025-05-09,2.564441,atr_trail_stop,4055,10165.13,233.68,0.022989,0.171429,-0.028571,0.400001,1,91.0,setup_rsi2=3.30; next_open_entry; avg_value_10=113.0807M; adr20=2.8963; close=2.5933; ma50=2.1044
rsi2,LRN,2025-05-13,150.179993,142.419998,7.759995,2025-05-15,152.908654,atr_trail_stop,67,10062.06,182.82,0.018169,0.351632,-0.023195,0.752579,2,93.0,setup_rsi2=3.94; next_open_entry; avg_value_10=168.1521M; adr20=4.1295; close=153.7400; ma50=134.8106
rsi2,MRX,2025-05-21,43.923863,43.294133,0.62973,2025-05-21,43.294133,same_day_stop_loss,231,10146.41,-145.47,-0.014337,-1.0,-2.078131,0.640628,0,93.0,setup_rsi2=3.72; next_open_entry; avg_value_10=50.1698M; adr20=4.3091; close=42.6644; ma50=39.0433
rsi2,MRX,2025-05-22,42.674237,42.615201,0.059036,2025-05-22,42.615201,same_day_stop_loss,238,10156.47,-14.05,-0.001383,-1.0,-9.500241,10.50029,0,93.0,setup_rsi2=0.96; next_open_entry; avg_value_10=45.9482M; adr20=4.2394; close=43.0678; ma50=39.2779
rsi2,NVTS,2025-05-22,4.905,1.88,3.025,2025-05-23,4.51,atr_trail_stop,2072,10163.16,-818.44,-0.08053,-0.130578,-0.289256,0.11405,1,98.0,setup_rsi2=3.13; next_open_entry; avg_value_10=156.2000M; adr20=7.0982; close=5.0500; ma50=2.0651
