strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,FFAI,2025-08-22,2.27,2.15,0.12,2025-09-02,2.15,stop_loss,4427,10049.29,-531.24,-0.052863,-1.0,-2.000002,1.916669,11,92.0,setup_rsi2=4.09; next_open_entry; avg_value_10=37.4908M; adr20=11.9475; close=2.4600; ma50=2.1171
rsi2,TDUP,2025-09-03,10.31,10.21,0.1,2025-09-03,10.21,same_day_stop_loss,972,10021.32,-97.2,-0.009699,-1.0,-2.089998,3.799977,0,98.0,setup_rsi2=4.16; next_open_entry; avg_value_10=28.3876M; adr20=5.5699; close=10.5600; ma50=8.9554
rsi2,WLDN,2025-09-03,107.150002,105.940002,1.209999,2025-09-03,105.940002,same_day_stop_loss,93,9964.95,-112.53,-0.011293,-1.0,-4.909097,0.42975,0,96.0,setup_rsi2=4.35; next_open_entry; avg_value_10=53.8294M; adr20=5.9838; close=103.7800; ma50=89.2786
rsi2,SNGX,2025-07-31,1.89,1.21,0.68,2025-09-04,2.9,pivot_low_break,5328,10069.92,5381.28,0.534392,1.485294,-0.338235,6.382353,35,94.0,setup_rsi2=2.19; next_open_entry; avg_value_10=110.5119M; adr20=18.9224; close=2.9300; ma50=1.5936
rsi2,WLDN,2025-09-04,103.860001,101.209999,2.650002,2025-09-04,101.209999,same_day_stop_loss,96,9970.56,-254.4,-0.025515,-1.0,-1.007546,0.1283,0,96.0,setup_rsi2=2.34; next_open_entry; avg_value_10=52.9006M; adr20=5.8029; close=103.1400; ma50=90.1586
rsi2,EVLV,2025-09-04,7.97,7.841,0.129,2025-09-04,7.841,same_day_stop_loss,1256,10010.32,-162.02,-0.016186,-1.0,-1.317829,0.426356,0,94.0,setup_rsi2=4.08; next_open_entry; avg_value_10=25.6440M; adr20=5.3187; close=7.8900; ma50=6.8993
rsi2,PLTR,2025-08-21,157.169998,142.339996,14.830002,2025-09-05,150.279999,pivot_low_break,63,9901.71,-434.07,-0.043838,-0.464599,-0.615644,0.406608,15,93.0,setup_rsi2=0.90; next_open_entry; avg_value_10=14428.5161M; adr20=4.0879; close=156.1800; ma50=153.1278
rsi2,WLDN,2025-09-05,103.629997,101.190002,2.439995,2025-09-05,101.190002,same_day_stop_loss,96,9948.48,-234.24,-0.023545,-1.0,-3.127055,0.245905,0,95.0,setup_rsi2=1.94; next_open_entry; avg_value_10=52.7494M; adr20=6.0198; close=98.8600; ma50=90.9394
rsi2,EVLV,2025-09-05,7.96,7.8,0.16,2025-09-05,7.8,same_day_stop_loss,1257,10005.72,-201.12,-0.0201,-1.0,-1.437501,0.687499,0,94.0,setup_rsi2=2.56; next_open_entry; avg_value_10=25.4221M; adr20=5.3149; close=8.0600; ma50=6.9387
rsi2,APLD,2025-09-05,14.69,14.055,0.634999,2025-09-05,14.055,same_day_stop_loss,681,10003.89,-432.43,-0.043227,-1.0,-1.600002,0.211025,0,92.0,setup_rsi2=2.26; next_open_entry; avg_value_10=368.3085M; adr20=8.1125; close=13.8900; ma50=12.7134
rsi2,APLD,2025-09-08,13.85,13.674,0.176001,2025-09-08,13.674,same_day_stop_loss,721,9985.85,-126.9,-0.012708,-1.0,-3.920444,0.795448,0,91.0,setup_rsi2=1.06; next_open_entry; avg_value_10=352.0766M; adr20=8.1045; close=13.9100; ma50=12.7804
rsi2,MP,2025-09-08,62.650002,61.401001,1.249001,2025-09-09,63.369999,pivot_low_break,159,9961.35,114.48,0.011492,0.576459,-0.860689,1.513209,1,97.0,setup_rsi2=3.45; next_open_entry; avg_value_10=584.3547M; adr20=6.1362; close=62.7200; ma50=59.9230
rsi2,WLDN,2025-09-08,99.849998,96.0,3.849998,2025-09-09,96.0,stop_loss,100,9985.0,-385.0,-0.038558,-1.0,-1.571428,0.41039,1,95.0,setup_rsi2=0.59; next_open_entry; avg_value_10=49.8081M; adr20=5.4409; close=97.6500; ma50=91.6490
rsi2,PGEN,2025-09-10,4.12,4.02,0.1,2025-09-10,4.02,same_day_stop_loss,2428,10003.36,-242.8,-0.024272,-1.0,-2.3,0.900002,0,99.0,setup_rsi2=4.66; next_open_entry; avg_value_10=37.2008M; adr20=11.6867; close=4.0800; ma50=2.5716
rsi2,LTBR,2025-08-21,13.92,12.93,0.99,2025-09-11,13.6,pivot_low_break,721,10036.32,-230.72,-0.022988,-0.323232,-0.333333,3.141415,21,94.0,setup_rsi2=4.53; next_open_entry; avg_value_10=29.1951M; adr20=9.6837; close=14.2200; ma50=13.8670
rsi2,LQDA,2025-09-11,27.299999,27.26,0.039999,2025-09-11,27.26,same_day_stop_loss,366,9991.8,-14.64,-0.001465,-1.0,-14.75037,8.500215,0,95.0,setup_rsi2=4.42; next_open_entry; avg_value_10=61.9764M; adr20=4.6976; close=27.0000; ma50=21.3392
rsi2,PGEN,2025-09-11,4.07,3.89,0.18,2025-09-12,3.89,stop_loss,2459,10008.13,-442.62,-0.044226,-1.0,-1.666667,0.555555,1,99.0,setup_rsi2=3.19; next_open_entry; avg_value_10=32.4787M; adr20=11.3376; close=4.1400; ma50=2.6254
rsi2,LQDA,2025-09-12,26.83,26.709999,0.120001,2025-09-12,26.709999,same_day_stop_loss,373,10007.59,-44.76,-0.004473,-1.0,-9.916602,2.583311,0,93.0,setup_rsi2=2.67; next_open_entry; avg_value_10=62.7310M; adr20=4.5580; close=25.9900; ma50=21.6178
rsi2,WWW,2025-09-12,30.02639,29.957455,0.068935,2025-09-12,29.957455,same_day_stop_loss,333,9998.79,-22.96,-0.002296,-1.0,-4.285755,6.42866,0,92.0,setup_rsi2=2.84; next_open_entry; avg_value_10=49.6896M; adr20=3.1337; close=30.0658; ma50=25.5412
rsi2,LQDA,2025-09-15,25.950001,25.639999,0.310001,2025-09-15,25.639999,same_day_stop_loss,385,9990.75,-119.35,-0.011946,-1.0,-1.967735,3.129016,0,93.0,setup_rsi2=0.71; next_open_entry; avg_value_10=64.4298M; adr20=4.7183; close=26.7700; ma50=21.9094
rsi2,INDV,2025-09-15,23.629999,23.059999,0.57,2025-09-15,23.059999,same_day_stop_loss,423,9995.49,-241.11,-0.024122,-1.0,-2.043859,0.0,0,93.0,setup_rsi2=1.11; next_open_entry; avg_value_10=51.4109M; adr20=2.9144; close=23.1950; ma50=20.7687
rsi2,INDV,2025-09-16,23.200001,22.465,0.735001,2025-09-16,22.465,same_day_stop_loss,432,10022.4,-317.52,-0.031681,-1.0,-1.265305,0.0,0,92.0,setup_rsi2=1.08; next_open_entry; avg_value_10=51.0939M; adr20=3.0292; close=22.7700; ma50=20.9131
