strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_trail_1atr,KC,2025-07-31,14.6515,13.61,1.0415,2025-08-01,13.6086,stop_loss,701,10270.68,-731.02,-0.071176,-1.0013,-1.3937,0.1954,1,91.0,entry=rsi2_next_open; setup_rsi2=2.91; raw_entry=open:14.6500; slippage_bps=1.0; decision_date=2025-07-30 00:00:00; filter_close=13.6800; filter_ma50=13.0577; filter_avg_value_10=34.37; filter_adr20=3.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,CIFR,2025-07-31,5.6106,5.3,0.3106,2025-08-01,5.0315,stop_loss,1832,10278.55,-1060.85,-0.10321,-1.8646,-2.2236,0.4168,1,91.0,entry=rsi2_next_open; setup_rsi2=1.93; raw_entry=open:5.6100; slippage_bps=1.0; decision_date=2025-07-30 00:00:00; filter_close=5.4500; filter_ma50=4.7388; filter_avg_value_10=201.49; filter_adr20=9.36; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,SBSW,2025-08-01,8.1736,8.0659,0.1077,2025-08-01,8.0651,same_day_stop_loss_red_candle,1247,10192.52,-135.33,-0.013277,-1.0075,-2.4435,0.2631,0,95.0,entry=rsi2_next_open; setup_rsi2=0.81; raw_entry=open:8.1728; slippage_bps=1.0; decision_date=2025-07-31 00:00:00; filter_close=8.1242; filter_ma50=7.2395; filter_avg_value_10=89.99; filter_adr20=3.53; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,FFAI,2025-08-01,2.2152,2.072,0.1432,2025-08-01,2.0718,same_day_stop_loss_red_candle,4602,10194.45,-660.06,-0.064747,-1.0014,-1.5027,-0.0015,0,90.0,entry=rsi2_next_open; setup_rsi2=4.45; raw_entry=open:2.2150; slippage_bps=1.0; decision_date=2025-07-31 00:00:00; filter_close=2.1300; filter_ma50=1.7342; filter_avg_value_10=101.36; filter_adr20=17.73; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,CAR,2025-08-04,165.2665,159.65,5.6165,2025-08-04,159.634,same_day_stop_loss_red_candle,62,10246.52,-349.21,-0.034081,-1.0028,-1.2065,0.0683,0,93.0,entry=rsi2_next_open; setup_rsi2=0.65; raw_entry=open:165.2500; slippage_bps=1.0; decision_date=2025-08-01 00:00:00; filter_close=164.0700; filter_ma50=158.5304; filter_avg_value_10=273.83; filter_adr20=4.88; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,COGT,2025-08-01,11.3211,11.21,0.1111,2025-08-05,11.4619,trail_1atr,900,10189.02,126.65,0.01243,1.2663,-1.9898,6.7386,2,96.0,entry=rsi2_next_open; setup_rsi2=1.41; raw_entry=open:11.3200; slippage_bps=1.0; decision_date=2025-07-31 00:00:00; filter_close=11.4200; filter_ma50=8.4042; filter_avg_value_10=27.84; filter_adr20=6.84; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,BTCS,2025-08-04,4.0056,3.9459,0.0597,2025-08-05,3.9455,stop_loss,2558,10246.32,-153.82,-0.015012,-1.0066,-2.3244,3.8009,1,98.0,entry=rsi2_next_open; setup_rsi2=0.85; raw_entry=open:4.0052; slippage_bps=1.0; decision_date=2025-08-01 00:00:00; filter_close=4.0151; filter_ma50=3.5125; filter_avg_value_10=47.46; filter_adr20=21.67; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,SBSW,2025-08-04,8.2611,7.9104,0.3507,2025-08-05,8.2594,trail_1atr,1241,10252.03,-2.05,-0.0002,-0.0047,-0.0578,1.3001,1,95.0,entry=rsi2_next_open; setup_rsi2=0.62; raw_entry=open:8.2603; slippage_bps=1.0; decision_date=2025-08-01 00:00:00; filter_close=8.0465; filter_ma50=7.2928; filter_avg_value_10=89.45; filter_adr20=3.58; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,CAR,2025-08-05,161.7562,158.49,3.2662,2025-08-05,158.4742,same_day_stop_loss_red_candle,63,10190.64,-206.77,-0.02029,-1.0049,-1.3552,0.1236,0,92.0,entry=rsi2_next_open; setup_rsi2=0.45; raw_entry=open:161.7400; slippage_bps=1.0; decision_date=2025-08-04 00:00:00; filter_close=160.4600; filter_ma50=159.5602; filter_avg_value_10=283.41; filter_adr20=4.88; rs_bucket=rs90_100
rs90_100_rsi2_next_open_trail_1atr,ABCL,2025-08-04,4.2754,4.185,0.0904,2025-08-06,4.1846,stop_loss,2400,10261.03,-218.03,-0.021248,-1.0046,-2.0506,1.455,2,94.0,entry=rsi2_next_open; setup_rsi2=1.61; raw_entry=open:4.2750; slippage_bps=1.0; decision_date=2025-08-01 00:00:00; filter_close=4.2400; filter_ma50=3.5144; filter_avg_value_10=32.59; filter_adr20=8.77; rs_bucket=rs90_100
