strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,PRM,2025-12-18,27.96,26.919,1.041,2025-12-19,28.31,rsi2_gt_70_exit,363,10149.48,127.05,0.012518,0.3362,-0.3122,0.5379,1,94.0,setup_rsi2=2.95; next_open_entry; avg_value_10=33.0535M; adr20=3.6373; close_gt_ma50=True
rsi2,BELFB,2025-12-18,168.2193,162.0734,6.146,2025-12-19,175.5745,rsi2_gt_70_exit,60,10093.16,441.31,0.043724,1.1967,-0.8033,1.265,1,92.0,setup_rsi2=4.84; next_open_entry; avg_value_10=25.0235M; adr20=5.1295; close_gt_ma50=True
rsi2,U,2025-12-18,45.0,43.63,1.37,2025-12-19,46.42,rsi2_gt_70_exit,225,10125.0,319.5,0.031556,1.0365,-0.4453,1.3285,1,91.0,setup_rsi2=3.06; next_open_entry; avg_value_10=401.2041M; adr20=5.2226; close_gt_ma50=True
rsi2,FN,2025-12-18,451.17,424.44,26.73,2025-12-19,475.47,rsi2_gt_70_exit,22,9925.74,534.6,0.05386,0.9091,-0.8186,1.0202,1,91.0,setup_rsi2=3.69; next_open_entry; avg_value_10=293.4215M; adr20=6.2150; close_gt_ma50=True
rsi2,GOOGL,2025-12-18,301.5078,295.9117,5.5961,2025-12-19,306.9439,rsi2_gt_70_exit,33,9949.76,179.39,0.01803,0.9714,-0.4446,0.9875,1,90.0,setup_rsi2=1.40; next_open_entry; avg_value_10=10598.7789M; adr20=2.7941; close_gt_ma50=True
rsi2,GOOG,2025-12-18,302.8466,297.2406,5.606,2025-12-19,308.3927,rsi2_gt_70_exit,33,9993.94,183.02,0.018313,0.9893,-0.4332,1.057,1,90.0,setup_rsi2=1.46; next_open_entry; avg_value_10=6690.3362M; adr20=2.7646; close_gt_ma50=True
rsi2,RCUS,2025-12-15,21.51,20.35,1.16,2025-12-22,23.22,rsi2_gt_70_exit,473,10174.23,808.83,0.079498,1.4741,-0.6034,1.5862,5,95.0,setup_rsi2=2.87; next_open_entry; avg_value_10=60.9389M; adr20=6.1442; close_gt_ma50=True
rsi2,ZIM,2025-12-15,18.9506,17.9561,0.9944,2025-12-22,19.2311,rsi2_gt_70_exit,537,10176.45,150.65,0.014803,0.2821,-0.5739,1.3716,5,90.0,setup_rsi2=1.41; next_open_entry; avg_value_10=86.7632M; adr20=4.7918; close_gt_ma50=True
rsi2,FLNC,2025-12-18,20.48,18.48,2.0,2025-12-22,20.45,rsi2_gt_70_exit,496,10158.08,-14.88,-0.001465,-0.015,-0.785,0.235,2,97.0,setup_rsi2=4.15; next_open_entry; avg_value_10=129.9973M; adr20=11.9400; close_gt_ma50=True
rsi2,GSAT,2025-12-18,58.34,55.82,2.52,2025-12-22,66.63,rsi2_gt_70_exit,174,10151.16,1442.46,0.142098,3.2897,-0.7302,3.6746,2,96.0,setup_rsi2=2.72; next_open_entry; avg_value_10=58.6215M; adr20=6.6008; close_gt_ma50=True
