strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
breakout,ADTN,2026-04-08,13.53,12.53,1.0,2026-04-27,16.715,ma10_break,894,12095.82,2847.39,0.235403,3.185,-0.259999,4.46,19,94.0,"buy_stop=pivot_high_1_1:13.0500; entry=max(open,pivot)"
breakout,ANDG,2026-04-14,29.809999,28.26,1.549999,2026-04-27,34.097,ma10_break,409,12192.29,1753.38,0.143811,2.765808,-0.580645,4.448391,13,99.0,"buy_stop=pivot_high_1_1:29.8100; entry=max(open,pivot)"
breakout,AVNS,2026-04-14,24.549999,14.02,10.529999,2026-04-27,24.655,ma10_break,497,12201.35,52.19,0.004277,0.009972,-0.003799,0.018993,13,97.0,"buy_stop=pivot_high_1_1:14.2650; entry=max(open,pivot)"
breakout,ALMS,2026-04-15,23.790001,22.530001,1.26,2026-04-27,24.829,ma10_break,507,12061.53,526.77,0.043674,0.824602,-0.670636,3.5873,12,97.0,"buy_stop=pivot_high_1_1:23.7900; entry=max(open,pivot)"
breakout,AGCC,2026-04-17,16.5,14.94,1.56,2026-04-27,18.559,ma10_break,753,12424.5,1550.43,0.124788,1.319872,-0.833333,5.91346,10,98.0,"buy_stop=pivot_high_1_1:16.5000; entry=max(open,pivot)"
breakout,ARMP,2026-04-21,13.22,11.29,1.93,2026-04-27,11.29,stop_loss,946,12506.12,-1825.78,-0.145991,-1.0,-1.875647,0.911917,6,98.0,"buy_stop=pivot_high_1_1:13.2200; entry=max(open,pivot)"
breakout,AVBP,2026-04-21,31.450001,29.67,1.780001,2026-04-27,30.1315,ma10_break,398,12517.1,-524.76,-0.041924,-0.740731,-0.966292,0.38764,6,90.0,"buy_stop=pivot_high_1_1:27.7500; entry=max(open,pivot)"
breakout,ALMU,2026-04-22,18.85,16.940001,1.91,2026-04-27,17.7395,ma10_break,671,12648.35,-745.15,-0.058912,-0.581414,-0.675393,1.256544,5,92.0,"buy_stop=pivot_high_1_1:18.8500; entry=max(open,pivot)"
breakout,AKTS,2026-04-22,21.5,19.855,1.645,2026-04-27,20.154,ma10_break,589,12663.5,-792.79,-0.062605,-0.818237,-0.99696,0.942249,5,90.0,"buy_stop=pivot_high_1_1:21.5000; entry=max(open,pivot)"
breakout,AMAT,2026-04-24,412.5,397.140015,15.359985,2026-04-27,399.198001,ma10_break,30,12375.0,-399.06,-0.032247,-0.866016,-0.944011,0.520834,3,91.0,"buy_stop=pivot_high_1_1:400.5000; entry=max(open,pivot)"
breakout,AMAT,2026-04-27,416.0,410.309998,5.690002,2026-04-27,410.309998,same_day_stop_loss,30,12480.0,-170.7,-0.013678,-1.0,-3.163443,0.175747,0,90.0,"buy_stop=pivot_high_1_1:400.5000; entry=max(open,pivot)"
breakout,AESI,2026-04-27,16.42,15.98,0.440001,2026-04-27,15.98,same_day_stop_loss,769,12626.98,-338.36,-0.026797,-1.0,-1.249999,1.499998,0,90.0,"buy_stop=pivot_high_1_1:13.7400; entry=max(open,pivot)"
breakout,AP,2026-04-08,7.29,6.54,0.75,2026-04-28,9.918,ma10_break,1659,12094.11,4359.85,0.360494,3.504,-0.426667,5.093333,20,94.0,"buy_stop=pivot_high_1_1:7.2900; entry=max(open,pivot)"
breakout,AMKR,2026-04-08,51.919998,45.889999,6.029999,2026-04-28,69.988001,ma10_break,232,12045.44,4191.78,0.347997,2.996353,-0.13267,4.529023,20,91.0,"buy_stop=pivot_high_1_1:48.8800; entry=max(open,pivot)"
breakout,ARWR,2026-04-09,64.860001,63.223,1.637001,2026-04-28,71.47,ma10_break,184,11934.24,1216.24,0.101912,4.037872,-0.971288,7.098348,19,93.0,"buy_stop=pivot_high_1_1:64.8600; entry=max(open,pivot)"
