strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_3d_close,DRUG,2026-01-21,83.3183,,,2026-01-26,86.1414,hold_3d_close,3205,267035.24,9047.9,0.033883,,,,3,93.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:83.3100; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-20 00:00:00; filter_close=83.0000; filter_ma50=76.0227; filter_avg_value_10=32.97; filter_adr20=9.67; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,SPHR,2026-01-22,96.4996,,,2026-01-27,96.3604,hold_3d_close,2783,268558.52,-387.62,-0.001443,,,,3,92.0,entry=rsi2_next_open; setup_rsi2=4.87; raw_entry=open:96.4900; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-21 00:00:00; filter_close=93.1500; filter_ma50=87.2702; filter_avg_value_10=81.86; filter_adr20=3.72; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,CAPR,2026-01-26,23.0323,,,2026-01-29,22.6077,hold_3d_close,11581,266737.11,-4916.88,-0.018433,,,,3,98.0,entry=rsi2_next_open; setup_rsi2=4.57; raw_entry=open:23.0300; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-23 00:00:00; filter_close=23.2000; filter_ma50=20.3298; filter_avg_value_10=34.48; filter_adr20=6.13; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,RVMD,2026-01-27,98.1448,,,2026-01-30,96.9403,hold_3d_close,2725,267444.62,-3282.3,-0.012273,,,,3,96.0,entry=rsi2_next_open; setup_rsi2=2.60; raw_entry=open:98.1350; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-26 00:00:00; filter_close=97.7800; filter_ma50=86.4170; filter_avg_value_10=532.41; filter_adr20=5.87; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,CAPR,2026-01-29,21.6122,,,2026-02-03,24.8775,hold_3d_close,12330,266477.95,40261.76,0.151089,,,,3,98.0,entry=rsi2_next_open; setup_rsi2=4.96; raw_entry=open:21.6100; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-28 00:00:00; filter_close=21.5700; filter_ma50=21.3472; filter_avg_value_10=30.26; filter_adr20=6.43; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,GH,2026-01-29,107.6908,,,2026-02-03,113.0387,hold_3d_close,2485,267611.56,13289.61,0.04966,,,,3,92.0,entry=rsi2_next_open; setup_rsi2=3.39; raw_entry=open:107.6800; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-28 00:00:00; filter_close=109.7300; filter_ma50=105.4196; filter_avg_value_10=203.00; filter_adr20=4.84; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,GPCR,2026-01-30,87.1587,,,2026-02-04,81.2519,hold_3d_close,3075,268013.05,-18163.53,-0.067771,,,,3,99.0,entry=rsi2_next_open; setup_rsi2=3.55; raw_entry=open:87.1500; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-29 00:00:00; filter_close=87.1500; filter_ma50=62.7442; filter_avg_value_10=99.89; filter_adr20=6.54; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,CALY,2026-01-30,14.0814,,,2026-02-04,14.6885,hold_3d_close,19064,268447.96,11574.19,0.043115,,,,3,91.0,entry=rsi2_next_open; setup_rsi2=4.76; raw_entry=open:14.0800; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-29 00:00:00; filter_close=14.5300; filter_ma50=12.5994; filter_avg_value_10=54.68; filter_adr20=4.23; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,CRML,2026-02-02,13.8514,,,2026-02-05,10.6589,hold_3d_close,19568,271043.91,-62469.89,-0.230479,,,,3,99.0,entry=rsi2_next_open; setup_rsi2=4.08; raw_entry=open:13.8500; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-30 00:00:00; filter_close=13.1700; filter_ma50=10.9804; filter_avg_value_10=543.38; filter_adr20=19.44; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,HL,2026-02-02,22.3179,,,2026-02-05,21.3037,hold_3d_close,12034,268573.05,-12204.47,-0.045442,,,,3,98.0,entry=rsi2_next_open; setup_rsi2=1.42; raw_entry=open:22.3156; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-30 00:00:00; filter_close=22.5156; filter_ma50=20.6006; filter_avg_value_10=1079.70; filter_adr20=8.71; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,AG,2026-02-02,20.5368,,,2026-02-05,20.2428,hold_3d_close,13032,267635.2,-3831.47,-0.014316,,,,3,97.0,entry=rsi2_next_open; setup_rsi2=4.36; raw_entry=open:20.5347; slippage_bps=1.0; initial_stop=disabled; decision_date=2026-01-30 00:00:00; filter_close=20.8346; filter_ma50=17.6373; filter_avg_value_10=871.13; filter_adr20=8.23; rs_bucket=rs90_100
