strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
breakout,CENX,2026-05-13,64.629997,58.18,6.449997,2026-05-15,58.18,stop_loss,155,10017.65,-999.75,-0.099799,-1.0,-1.35969,0.110077,2,91.0,"buy_stop=pivot_high_1_1:63.7400; entry=max(open,pivot)"
breakout,BHE,2026-05-14,87.599998,84.160004,3.439995,2026-05-15,84.160004,stop_loss,114,9986.4,-392.16,-0.039269,-1.0,-1.747096,0.026164,1,95.0,"buy_stop=pivot_high_1_1:87.6000; entry=max(open,pivot)"
breakout,ATRA,2026-05-14,10.66,9.083,1.577,2026-05-15,9.083,stop_loss,943,10052.38,-1487.11,-0.147936,-1.0,-1.274572,0.088776,1,92.0,"buy_stop=pivot_high_1_1:10.6600; entry=max(open,pivot)"
breakout,AMAT,2026-05-14,448.450012,422.299988,26.150024,2026-05-15,422.299988,stop_loss,22,9865.9,-575.3,-0.058312,-1.0,-1.028298,0.0,1,91.0,"buy_stop=pivot_high_1_1:448.4500; entry=max(open,pivot)"
breakout,AYA,2026-05-14,21.5,20.51,0.99,2026-05-15,20.51,stop_loss,467,10040.5,-462.33,-0.046047,-1.0,-2.777778,0.282829,1,90.0,"buy_stop=pivot_high_1_1:19.4000; entry=max(open,pivot)"
breakout,CGEN,2026-05-14,2.98,2.81,0.17,2026-05-15,2.81,stop_loss,3368,10036.64,-572.56,-0.057047,-1.0,-1.529411,0.411764,1,90.0,"buy_stop=pivot_high_1_1:2.9800; entry=max(open,pivot)"
breakout,BVC,2026-05-15,10.9,9.3,1.599999,2026-05-15,9.3,same_day_stop_loss,899,9799.1,-1438.4,-0.146789,-1.0,-1.04375,0.15625,0,98.0,"buy_stop=pivot_high_1_1:10.9000; entry=max(open,pivot)"
breakout,BLDP,2026-05-15,4.43,3.92,0.51,2026-05-15,3.92,same_day_stop_loss,2209,9785.87,-1126.59,-0.115124,-1.0,-1.039216,0.588236,0,96.0,"buy_stop=pivot_high_1_1:4.4300; entry=max(open,pivot)"
breakout,ALAB,2026-05-15,231.729996,215.800003,15.929993,2026-05-15,215.800003,same_day_stop_loss,42,9732.66,-669.06,-0.068744,-1.0,-1.337728,0.504395,0,94.0,"buy_stop=pivot_high_1_1:231.7300; entry=max(open,pivot)"
breakout,AXTI,2026-05-11,118.379997,107.809998,10.57,2026-05-15,123.779999,end_of_backtest,84,9943.92,453.6,0.045616,0.51088,-0.965941,1.477768,4,99.0,"buy_stop=pivot_high_1_1:110.8000; entry=max(open,pivot)"
breakout,ASBP,2026-05-11,5.5,0.11,5.39,2026-05-15,5.61,end_of_backtest,1818,9999.0,199.98,0.02,0.020408,-0.12616,0.165121,4,99.0,"buy_stop=pivot_high_1_1:0.2350; entry=max(open,pivot)"
breakout,BAND,2026-05-11,50.0,46.810001,3.189999,2026-05-15,53.970001,end_of_backtest,199,9950.0,790.03,0.0794,1.244515,-0.62069,1.996866,4,99.0,"buy_stop=pivot_high_1_1:24.9400; entry=max(open,pivot)"
breakout,CDNL,2026-05-11,57.636002,50.205002,7.431,2026-05-15,52.145,end_of_backtest,173,9971.03,-949.94,-0.09527,-0.738932,-0.834881,0.746064,4,99.0,"buy_stop=pivot_high_1_1:57.6360; entry=max(open,pivot)"
breakout,AEHR,2026-05-11,99.800003,90.190002,9.610001,2026-05-15,99.5,end_of_backtest,100,9980.0,-30.0,-0.003006,-0.031218,-0.89282,0.931321,4,99.0,"buy_stop=pivot_high_1_1:99.4300; entry=max(open,pivot)"
breakout,BW,2026-05-11,16.700001,14.201,2.499001,2026-05-15,21.85,end_of_backtest,599,10003.3,3084.85,0.308383,2.060824,-0.456183,2.132853,4,98.0,"buy_stop=pivot_high_1_1:16.0000; entry=max(open,pivot)"
breakout,AIP,2026-05-11,32.110001,29.290001,2.82,2026-05-15,33.709999,end_of_backtest,312,10018.32,499.2,0.049829,0.567375,-0.585107,2.25532,4,98.0,"buy_stop=pivot_high_1_1:32.1100; entry=max(open,pivot)"
breakout,ASX,2026-05-11,34.220001,32.799999,1.420002,2026-05-15,33.810001,end_of_backtest,291,9958.02,-119.31,-0.011981,-0.288732,-0.866196,1.049293,4,96.0,"buy_stop=pivot_high_1_1:34.2200; entry=max(open,pivot)"
breakout,AKAM,2026-05-11,149.0,132.850006,16.149994,2026-05-15,150.880005,end_of_backtest,66,9834.0,124.08,0.012617,0.116409,-0.275542,1.018576,4,96.0,"buy_stop=pivot_high_1_1:122.2400; entry=max(open,pivot)"
breakout,BKSY,2026-05-11,40.68,32.959999,7.720001,2026-05-15,38.75,end_of_backtest,245,9966.6,-472.85,-0.047443,-0.25,-0.408031,0.520725,4,95.0,"buy_stop=pivot_high_1_1:40.6800; entry=max(open,pivot)"
